title,sold price,solddate,link
Shop on eBay,20.0,Error 0: No Data or Not Parsed Correctly,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
HP ProLiant DL380p G8 2x Xeon E5-2660 V2 20CORE 128GB RAM 4X200gb SSD GEN8 10GBT,1650.0,Sold  26 Oct 2022,https://www.ebay.com.au/itm/233900669124?epid=1488073676&hash=item367590f8c4%3Ag%3AjlUAAOSwUstgLmx3&amdata=enc%3AAQAHAAAA4C%2FuvA8E1ll3guNXKNKEpYRSi3wkrI6Q3KqMX5Ark%2B9xLoOEps1auITdAR%2BJY%2FgqQpQ39lnFlNn2dwXdekluBv6eDofZUgAcyVIp3xyT2tn4WRFw0sTXB2H2nwdaEBS6GMDfY7tsTfNg6YX43U0iOFZhvFHO9hMKkc0fLjNefuzyS3J47JBtVyttKkp4VrXN2wEJLEczRJaJxe6nW5ApNyklMkaXEG2KKZz1pIVZJ3Pcwqs%2F7joachIH6HX%2FbbDTL6t%2FauXKFjQkvYPmbqHu6WDPyAzZVnB9uqICvQb0VDDK%7Ctkp%3ABk9SR86WmvSEYQ&LH_Auction=%270%27
10pcs 2.5'' SFF SATA SAS HDD Tray Caddy 651687-001 For HP DL380p DL360p G8 G9,178.99,Sold  26 Oct 2022,https://www.ebay.com.au/itm/153350978126?hash=item23b46e3a4e%3Ag%3A2D4AAOSwPntcSWpH&amdata=enc%3AAQAHAAAAoCPqFDtySR%2FOkBjZkXQgUmNkxeddUbU1tGwoBmGENlDc5kClJd1sZo5bi%2Be2xmYIyG5bpWszMfEzkVFvMEy5ILtNM7P1KZa0HgMBGIz6VWPS2e%2B%2FysLLJZi5T8jj4%2B%2BAG64tGnA%2BWnRkqz71C5dX1umjQpoSUYi6TxljWfWR2b2mAdT5j6ngiPz7LvpvpAEqdj%2Fcv3rNdsR%2BEV78Xm0dcUA%3D%7Ctkp%3ABk9SR86WmvSEYQ&LH_Auction=%270%27
10x 3.5'' LFF SAS SATA HDD Tray Caddy For HP 651314-001 DL380p DL388 DL360 G8 G9,138.9,Sold  26 Oct 2022,https://www.ebay.com.au/itm/334541266323?hash=item4de4369d93%3Ag%3AQogAAOSwdqNcSX5i&amdata=enc%3AAQAHAAAAoPh3sr65CR8bMursWd58IKfOUVCwwAHzvUphcH2DYQE23DptzedcTmrKAIPOjyjji5i5GbER5TLpmSN2RQdgaS8r%2BaVXDz6tNCnBfY8ShXGRMVw7oefctehAETRh8f7mcy51MPOqibdn7IrcZ9PsvXQMPRf1FOIvd3GwBoHj1kssrPAg1GC2sG6FL0qKKOYuD4YjI9VQw%2BOlzvlCywXOryw%3D%7Ctkp%3ABk9SR86WmvSEYQ&LH_Auction=%270%27
"HP DL380p G8 2x E5-2680v2 10C 2.8GHz 128GB Ram 2x 300GB, 6x 600GB SAS GPU Riser ",600.0,Sold  24 Oct 2022,https://www.ebay.com.au/itm/185576509531?hash=item2b3538d05b%3Ag%3A5UMAAOSwiRxjHoaj&amdata=enc%3AAQAHAAAAoMvaIjhAGZzjtNQr1hk%2F2rwFCZd5CPu4Nv62P4hF3KHHAWs7KKOLJYk56ac8%2FimSwhy0kAtiaq3KKbEgsRrz%2FFOwsmBf92OlKh8mD9j4UjtiIsgDramRG8qMheppTSK9ZMhWLkxxepkipUJx4XYY4XrPlCNzgaMPC8EHZW%2FLGrNHRSEdfSz1IOWKZF9p3olXVgAix1I9%2B%2BUsHLKnEkYCzE4%3D%7Ctkp%3ABk9SR86WmvSEYQ&LH_Auction=%270%27
"For HP 651687 651699 2.5"" SAS SATA Drive Tray DL380p DL360p DL160 DL560 DL385 G8",15.36,Sold  23 Oct 2022,https://www.ebay.com.au/itm/332692107306?hash=item4d75feb02a%3Ag%3AlMQAAOSwacdZbc2G&amdata=enc%3AAQAHAAAAoLTryNNagokhV0BOjbU%2BLh2i%2FgrJalExBwu08p6XizHOkx5JD9t1tPRtfi5tj%2F91YHHdll2wfyPAM7zNYSpcdUHWZh6gD%2BZxOsBKiI20qkyWNWkxhVQzVPBrz3pEpu62jPMgnqR5HFkmHGplVTzCCYQP73mgXrP1O2U2PXuVzn1veFVq6Oxa1ha26qZa3BjbPficT5QAfVl1pGze9vCE0eE%3D%7Ctkp%3ABk9SR86WmvSEYQ&LH_Auction=%270%27
"2.5"" SFF SAS SATA HDD Tray Caddy for HP G8 Gen8 651687-001 651699-001 DL380p G9",21.58,Sold  21 Oct 2022,https://www.ebay.com.au/itm/333642154434?hash=item4dae9f41c2%3Ag%3AyzsAAOSw1nVeEvmi&amdata=enc%3AAQAHAAAAoIf0y3TwBL9MLYmfuy6jXnkpmhdj0csqvnLZgaQNj1yOqSNaGVK7SMdg%2Fry4kxNdKx%2BtLgZYwDzu5DjJve7ECUNO5R5JoEDdRKFuo4ZrsCgKzQyw4qHn1RgSRFfZFdhIvb5L9WNenjO7Odh6%2F48sUgvA8gneW1lqzJNJzMW1YI7SeizFinzM%2FTgDY2yME%2FkWwvpg7Y%2BgWpS%2BDfHE6xLXOi0%3D%7Ctkp%3ABk9SR86WmvSEYQ&LH_Auction=%270%27
"2.5"" SFF SAS SATA HDD Tray Caddy for HP G8 Gen8 G9 DL380p DL360pLDUKE_Z1J&YA",18.94,Sold  20 Oct 2022,https://www.ebay.com.au/itm/185597638214?hash=item2b367b3646%3Ag%3A3bEAAOSwSL1fNN-6&amdata=enc%3AAQAHAAAAoFa%2B1fEx7d%2BjuR59WfUiV3T6b3QUMaqa9D%2FfkFCgoiL%2FojQH4Avuec8hlXpNTMttld1U417suW9S73OG7tsrxOzZPU5AKDF5KSfe0eikPAPBGsLWQ0EmKt1wTVVpmTZ%2FRG7i%2F%2B0BjFk67MW6GDghdtr82%2B3MIsk%2FNrzZdK%2BR3AGFC72l5IUIDHPBUyzEfIAkoybg0vEJ3wNdyquwoxAfUS8%3D%7Ctkp%3ABk9SR86WmvSEYQ&LH_Auction=%270%27
"Brand New! FOR HP G8Gen8 651687-001 2.5"" SFF SAS HDD Tray Caddy 653955 DL380p G8",16.12,Sold  20 Oct 2022,https://www.ebay.com.au/itm/183415471965?epid=3010454244&hash=item2ab469ff5d%3Ag%3AV0wAAOSwcj1aG9Mm&amdata=enc%3AAQAHAAAA4P5ERgder%2FOIqJruslnyctLihsZlIbwILOiJmhHieHFzSRmfnaHdknRgh0JKkA9kNo68rAacz2zcShgbNjwEeYsEum%2FVKwTAdZDdoyoB7d47K9RgtqVbbruGrHx1HSf0Qo94HQPnt0%2BH1XqW7gGt7Mi6y05nskMqSvIKCxo5c7RduKP4ObsFbuWZcxttne1G5ql7gRPbwGjsDkjMMIWBm6XXk0bkf1lXlj5pKDDC4B%2Fz4f%2BPm6b3L3ffz3wX0x3uh1Utt2HZfOS%2FYMkpB776ohXTk9P6JtMZYmcPjEQJLXSd%7Ctkp%3ABk9SR86WmvSEYQ&LH_Auction=%270%27
NEW HP ProLiant DL380p GEN8 GEN9 Rails Rack Mount Rail kit G8 G9 + E 679364-001,114.62,Sold  19 Oct 2022,https://www.ebay.com.au/itm/401554584484?epid=563093844&hash=item5d7e84b3a4%3Ag%3AX9gAAOSwbrJbK02W&amdata=enc%3AAQAHAAAA4H%2FxKdwIT0tQeS5ngKFmgb5ovvhdXXPwR9tzzxICzLUwZ4t93jwB%2BR02sVdjGt5QrTZg51oOR%2Fzj8gbEAtnqvwm%2B0qrN82AqyYSMQnmSPJPmefsQfVUAdUa4gAcIjZXsagwRKru2s9I%2FENLY22gMmQWmwwCVQX91zY8%2FdvLora9py30GZA9vMmm2gj1GZ1nqy9wUS8ftSeRuI10wqet0SXpr2QxG7n0Pz3K1pWSHvtzAyipHTOdwbyk13hjmwfpDdK%2B1G0f%2B9945lOsBZWqE8y8Qn1gmCLhMBfyxOdzFrFjc%7Ctkp%3ABk9SR86WmvSEYQ&LH_Auction=%270%27
